時間,コメント
4908.205,悪魔か？w
4908.526,完全に悪役ｗ
4908.791,ギアさんわからせるの好きねw
4911.527,良い性格ゥ！！！！
4911.638,いい性格してる
4912.128,wwww
4912.938,ガラ悪いなぁw
4916.052,アスパラ育ちでたな
4917.99,性格いいなあｗｗｗ
4918.502,性格えっぐｗ
4923.953,こん
4926.145,いい性格してるなあｗ
4932.021,ジャッジなんだよねぇ〜
4953.262,おっしい
4953.617,えっど
4971.82,撃ち勝つんだよねw
5001.969,nt
5004.079,nt
5005.27,nt！
5005.577,nt
5005.836,ntnt
5006.122,nt！
5006.276,nt！
5006.892,nt
5007.48,nt
5007.775,nt!
5008.263,効いてる？
5011.191,nt
5011.323,nt！
5013.659,nt
5014.968,nt
5015.189,wwww
5017.782, wwww
5018.889,wwww
5019.156,nt！
5020.386,アルファさんえっどいなぁ
5026.336,みんな今日出るなぁw
5042.15,これめっちゃいいバランスかもしれんな
5042.789,まぁがまんよくないよね
5047.535,こん
5050.726,ひなーのサムネ間違ってね？
5064.442,サムネはYouTubeのバグです
5064.908,こんひな～の
5070.351,ないすー！
5071.128,ナイスナイス
5075.199,なーーいす！
5077.707,ないすー
5078.082,ないす！
5080.258,www
5081.004,サムネバグ
5083.586, wwww
5084.405,wwww
5085.369,wwwwww
5085.892,wwww
5086.128,ｻﾑﾈﾊﾞｸﾞ
5086.209,wwwwwww
5087.044,ww
5087.681,一生言われとるねｗ
5088.011,wwwwwwwww
5088.02,こわいってwww
5088.03,wwwwwww
5088.202,www
5088.612,wwwww
5088.58,りょーうかい！
5088.728,あーいｗ
5089.196,www
5089.467,了解了解了解了解
5089.473,WWW
5089.68,wwwwwww
5089.893,了解すｗ
5089.774,wwwww
5089.986,wwww
5090.048,分かったってw
5090.103,分かったwwww
5090.62,wwww
5090.631,そうなのかソーリー
5090.715,www
5091.067,www
5091.409,ナイス固定
5092.117,www
5092.074,サムネバグです
5092.235,www
5092.651,ｗｗｗ
5092.684,おけおけ笑
5094.018,ｗｗ
5094.12,www
5094.264,分かってるよｗ
5094.884,www
5095.44,サムネはバグです
5096.425,www
5096.595,わかってるーの
5097.937,ｗｗｗ
5098.557,ひなーのがバグったw
5099.871,wwww
5099.862,うるせえ
5105.02,はーい
5105.837,ひなのバグです
5108.31,サムネとメンバー聞いてくるのうっせえ
5108.584,wwww
5108.828,※サムネはバグです
5109.655,出たな
5111.966,きちゃーwwww
5111.999,ww
5115.666,分かったってw
5119.571,サムネはバグ
5122.448,ひなーのがバグってはいたなw
5123.055,ひなーのバグっちゃった
5125.132,ガンダの民きた
5128.731,コメントもバグです
5130.286,シンはジェクト
5131.479, wwww
5137.451,ﾋﾅｰﾉ名物ピストルアーケードラッシュ
5139.184,いけいけー
5139.444,イケイケ
5149.378,もう話しません
5154.264,走るなぁ！w
5155.163,そりゃはしるよ
5156.124,走るなぁｗ
5162.338,綺麗に避けたなあｗｗ
5168.757,ないすー
5170.235,ないす！
5170.335,ないすぅ
5173.487,ナイスー
5174.141,ナイスナイスー！
5175.026,ないすー
5176.195,おー！逆転！
5179.984,ナイス!!
5185.912,ディスコードあると嬉しいな
5189.61,あれw
5190.199,アケガンダの成功率高いなw
5195.245,a
5195.934,w
5197.063, wwww
5197.311,びっくりしたｗｗ
5199.671,wwww
5200.445,ありゃ
5200.937,出ないんか
5201.558,あらww
5202.476,wwwww
5202.757,お？
5202.857,www
5203.538,w
5204.643,よかったw
5204.696,おけ
5205.155,www
5205.876,ww
5207.956,ｗｗｗ
5209.954,名誉モデ
5224.922,一瞬だけの名誉モデ
5239.44,w
5244.712,良い人がモデになってよかったw
5261.333,なーいす
5261.976,ナイス
5264.469,ないす！
5264.619,ないす！
5267.587,wwwwwww
5268.757,ないすぅ
5269.322,な＾
5270.144,どんな褒め方？ww
5271.332,wwww
5272.182, www
5272.68,www
5273.672,ｗｗｗ
5274.128,ｗｗｗ
5274.178,ｗｗｗ
5276.431,www
5277.206,ギアさん実際の見込み早いw
5277.931,wwwwww
5278.089,シーズグレ…ｳｯ頭が
5279.47,いや流石ギアさんっす
5280.559,うめーひとはちげえなあ！
5283.301,www
